Frequency (Hz),MTF_10HU,MTF_30HU,MTF_50HU
1.1397058823529411,0.0023016696226983643,0.005986543874678102,0.007501831177586431
1.1409313725490196,0.0022738470558729632,0.005924000215685236,0.007418924349119975
1.142156862745098,0.0022462113746909342,0.005861852935422201,0.0073364434006203995
1.1433823529411764,0.0022187608960315456,0.005800100734600001,0.0072543861491508686
1.1446078431372548,0.002191493966990001,0.005738742407910571,0.0071727505024496985
1.1458333333333333,0.002164408965673622,0.005677776847123634,0.007091534462415484
1.1470588235294117,0.002137504302051938,0.005617203044327408,0.007010736128788936
1.1482843137254901,0.002110778418865817,0.005557020095319497,0.006930353703048261
1.1495098039215685,0.0020842297925967677,0.005497227203156498,0.006850385492526108
1.150735294117647,0.002057856934501618,0.005437823681866493,0.006770829914766976
1.1519607843137254,0.0020316583917184966,0.005378808960334614,0.006691685502136544
